time_s,current_A,raw_hex
0.0000,5.5542e-08,0x0000800A
0.0200,5.5542e-08,0x0000800A
0.0400,5.5542e-08,0x0000800A
0.0600,5.5542e-08,0x0000800A
0.0800,5.5542e-08,0x0000800A
0.1000,5.5542e-08,0x0000800A
0.1200,5.5542e-08,0x0000800A
0.1400,5.5542e-08,0x0000800A
0.1600,5.5542e-08,0x0000800A
0.1800,5.5542e-08,0x0000800A
0.2000,5.5542e-08,0x0000800A
0.2200,5.5542e-08,0x0000800A
0.2400,5.5542e-08,0x0000800A
0.2600,5.5542e-08,0x0000800A
0.2800,5.5542e-08,0x0000800A
0.3000,5.5542e-08,0x0000800A
0.3200,5.5542e-08,0x0000800A
0.3400,5.5542e-08,0x0000800A
0.3600,5.5542e-08,0x0000800A
0.3800,5.5542e-08,0x0000800A
0.4000,5.5542e-08,0x0000800A
0.4200,5.5542e-08,0x0000800A
0.4400,5.5542e-08,0x0000800A
0.4600,5.5542e-08,0x0000800A
0.4800,5.5542e-08,0x0000800A
0.5000,5.5542e-08,0x0000800A
0.5200,5.5542e-08,0x0000800A
0.5400,5.5542e-08,0x0000800A
0.5600,5.5542e-08,0x0000800A
0.5800,5.5542e-08,0x0000800A
0.6000,5.5542e-08,0x0000800A
0.6200,5.5542e-08,0x0000800A
0.6400,5.5542e-08,0x0000800A
0.6600,5.5542e-08,0x0000800A
0.6800,5.5542e-08,0x0000800A
0.7000,5.5542e-08,0x0000800A
0.7200,5.5542e-08,0x0000800A
0.7400,5.5542e-08,0x0000800A
0.7600,5.5542e-08,0x0000800A
0.7800,5.5542e-08,0x0000800A
0.8000,5.5542e-08,0x0000800A
0.8200,5.5542e-08,0x0000800A
0.8400,5.5542e-08,0x0000800A
0.8600,5.5542e-08,0x0000800A
0.8800,5.5542e-08,0x0000800A
0.9000,5.5542e-08,0x0000800A
0.9200,5.5542e-08,0x0000800A
0.9400,5.5542e-08,0x0000800A
0.9600,5.5542e-08,0x0000800A
0.9800,5.5542e-08,0x0000800A
1.0000,5.5542e-08,0x0000800A
1.0200,5.5542e-08,0x0000800A
1.0400,5.5542e-08,0x0000800A
1.0600,5.5542e-08,0x0000800A
1.0800,5.5542e-08,0x0000800A
1.1000,5.5542e-08,0x0000800A
1.1200,5.5542e-08,0x0000800A
1.1400,5.5542e-08,0x0000800A
1.1600,5.5542e-08,0x0000800A
1.1800,5.5542e-08,0x0000800A
1.2000,5.5542e-08,0x0000800A
1.2200,5.5542e-08,0x0000800A
1.2400,5.5542e-08,0x0000800A
1.2600,5.5542e-08,0x0000800A
1.2800,5.5542e-08,0x0000800A
1.3000,5.5542e-08,0x0000800A
1.3200,5.5542e-08,0x0000800A
1.3400,5.5542e-08,0x0000800A
1.3600,5.5542e-08,0x0000800A
1.3800,5.5542e-08,0x0000800A
1.4000,5.5542e-08,0x0000800A
1.4200,5.5542e-08,0x0000800A
1.4400,5.5542e-08,0x0000800A
1.4600,5.5542e-08,0x0000800A
1.4800,5.5542e-08,0x0000800A
1.5000,5.5542e-08,0x0000800A
1.5200,5.5542e-08,0x0000800A
1.5400,5.5542e-08,0x0000800A
1.5600,5.5542e-08,0x0000800A
1.5800,5.5542e-08,0x0000800A
1.6000,5.5542e-08,0x0000800A
1.6200,5.5542e-08,0x0000800A
1.6400,5.5542e-08,0x0000800A
1.6600,5.5542e-08,0x0000800A
1.6800,5.5542e-08,0x0000800A
1.7000,5.5542e-08,0x0000800A
1.7200,5.5542e-08,0x0000800A
1.7400,5.5542e-08,0x0000800A
1.7600,5.5542e-08,0x0000800A
1.7800,6.1096e-08,0x0000800B
1.8000,5.5542e-08,0x0000800A
1.8200,5.5542e-08,0x0000800A
1.8400,6.1096e-08,0x0000800B
1.8600,5.5542e-08,0x0000800A
1.8800,5.5542e-08,0x0000800A
1.9000,5.5542e-08,0x0000800A
1.9200,5.5542e-08,0x0000800A
1.9400,5.5542e-08,0x0000800A
1.9600,5.5542e-08,0x0000800A
1.9800,5.5542e-08,0x0000800A
